,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
2050,"0709994500 Sweet Corn, Fresh Or Chilled (kg)",February 2018,China,0,"3,000",3000,639,3000,0709994500,2018,February
3120,"0811204030 Blackberries, Frozen (kg)",November 2018,China,0,"11,903",11903,2262,11903,0811204030,2018,November
4672,1301200000 Gum Arabic (kg),November 2018,China,0,"7,380",0,0,7380,1301200000,2018,November
4673,1301200000 Gum Arabic (kg),December 2018,China,0,"3,494",0,0,3494,1301200000,2018,December
6080,"1702901000 Sugrs/syrup,contn 6% Lt Non-sug Solid, Addtl Not 5 (kg)",January 2018,China,0,"49,534",49534,1529,49534,1702901000,2018,January
6081,"1702901000 Sugrs/syrup,contn 6% Lt Non-sug Solid, Addtl Not 5 (kg)",April 2018,China,0,"5,002",5002,157,5002,1702901000,2018,April
6224,"1806909090 Cocoa Preps, Nesoi, Not For Retail, Nesoi (kg)",November 2018,China,0,"40,731",40731,2444,40731,1806909090,2018,November
6600,"2002908040 Tomato Puree, In Containers Holding 1.4 Kg Or More (kg)",September 2018,China,0,"4,096",4096,885,4096,2002908040,2018,September
7529,"2009396020 Lemon Juice, Nesoi, Frozen (l)",February 2018,China,0,"241,713",241713,32856,241713,2009396020,2018,February
8198,2208700030 Liqueurs & Cordials In Cntrs Nt Over 4 Liters (pfl),October 2018,China,0,"7,157",0,0,7157,2208700030,2018,October
9281,"2710191600 Kerosene-type Jet Fuel, Not Cont Biodiesel, Nesoi (bbl)",October 2018,China,0,"2,840,700",2840700,15750,2840700,2710191600,2018,October
11112,2841903000 Potassium Stannate (kg),January 2018,China,0,"4,200",4200,130,4200,2841903000,2018,January
12881,"2909504050 Other Odoriferous Or Flavoring Compounds,nesoi (kg)",January 2018,China,0,"9,961",9961,478,9961,2909504050,2018,January
12891,"2909504050 Other Odoriferous Or Flavoring Compounds,nesoi (kg)",November 2018,China,0,"26,049",26049,3385,26049,2909504050,2018,November
12892,"2909504050 Other Odoriferous Or Flavoring Compounds,nesoi (kg)",December 2018,China,0,"16,031",16031,2373,16031,2909504050,2018,December
13439,"2914791000 2,3-dichloro-1,4-naphthoquinone And Other Art Musk (kg)",July 2018,China,0,"4,169",4169,229,4169,2914791000,2018,July
13443,"2914791000 2,3-dichloro-1,4-naphthoquinone And Other Art Musk (kg)",November 2018,China,0,"89,115",89115,4901,89115,2914791000,2018,November
14742,"2918290400 2,3-cresotic Acid; M-hydroxybenzoic Acid; Etc (kg)",January 2018,China,0,"32,240",32240,1869,32240,2918290400,2018,January
14747,"2918290400 2,3-cresotic Acid; M-hydroxybenzoic Acid; Etc (kg)",June 2018,China,0,"35,250",35250,2045,35250,2918290400,2018,June
14749,"2918290400 2,3-cresotic Acid; M-hydroxybenzoic Acid; Etc (kg)",August 2018,China,0,"79,985",79985,4639,79985,2918290400,2018,August
14943,"2918994700 Other Aromat Carboxy Acid With Add Oxy Funct, Etc (kg)",November 2018,China,0,"9,239",9239,601,9239,2918994700,2018,November
15244,2921426500 Aniline Deriv Etc Of Prod In Us Note3 To Sect 6 (kg),May 2018,China,0,"2,860",2860,186,2860,2921426500,2018,May
15675,"2922391000 2-aminoacetophenone: 3-aminoacetophenone, Etc (kg)",April 2018,China,0,"2,240",2240,130,2240,2922391000,2018,April
15676,"2922391000 2-aminoacetophenone: 3-aminoacetophenone, Etc (kg)",May 2018,China,0,"5,130",5130,298,5130,2922391000,2018,May
15678,"2922391000 2-aminoacetophenone: 3-aminoacetophenone, Etc (kg)",July 2018,China,0,"3,354",3354,195,3354,2922391000,2018,July
15679,"2922391000 2-aminoacetophenone: 3-aminoacetophenone, Etc (kg)",September 2018,China,0,"30,091",30091,1745,30091,2922391000,2018,September
15681,"2922391000 2-aminoacetophenone: 3-aminoacetophenone, Etc (kg)",December 2018,China,0,"4,228",4228,245,4228,2922391000,2018,December
16199,2924297730 P-amino-benzamide (kg),April 2018,China,0,"2,730",2730,177,2730,2924297730,2018,April
16358,"2926901600 2,2-dimethylcyclo-propanecarboxylate; Etc. (kg)",December 2018,China,0,"496,571",496571,49658,496571,2926901600,2018,December
19793,3006920000 Waste Pharmaceuticals (kg),January 2018,China,0,"31,683",0,0,31683,3006920000,2018,January
19794,3006920000 Waste Pharmaceuticals (kg),March 2018,China,0,"68,022",0,0,68022,3006920000,2018,March
19795,3006920000 Waste Pharmaceuticals (kg),April 2018,China,0,"5,341",0,0,5341,3006920000,2018,April
19796,3006920000 Waste Pharmaceuticals (kg),May 2018,China,0,"16,151",0,0,16151,3006920000,2018,May
19797,3006920000 Waste Pharmaceuticals (kg),July 2018,China,0,"36,154",0,0,36154,3006920000,2018,July
19798,3006920000 Waste Pharmaceuticals (kg),September 2018,China,0,"34,487",0,0,34487,3006920000,2018,September
19799,3006920000 Waste Pharmaceuticals (kg),October 2018,China,0,"15,089",0,0,15089,3006920000,2018,October
19801,3006920000 Waste Pharmaceuticals (kg),December 2018,China,0,"16,750",0,0,16750,3006920000,2018,December
20240,"3204145000 Direct Dyes And Preparations Based Thereon,nesoi (kg)",October 2018,China,0,"18,603",18603,3070,18603,3204145000,2018,October
21548,3302102000 Mixtures Containing Nt Over 20% Alcohol By Weight (kg),July 2018,China,0,"429,308",0,0,429308,3302102000,2018,July
21551,3302102000 Mixtures Containing Nt Over 20% Alcohol By Weight (kg),October 2018,China,0,"126,140",0,0,126140,3302102000,2018,October
21553,3302102000 Mixtures Containing Nt Over 20% Alcohol By Weight (kg),December 2018,China,0,"19,754",0,0,19754,3302102000,2018,December
21559,"3302109000 Mixtures Contain Over 20% Alcohol By Weight, Nesoi (kg)",April 2018,China,0,"294,529",0,0,294529,3302109000,2018,April
21560,"3302109000 Mixtures Contain Over 20% Alcohol By Weight, Nesoi (kg)",May 2018,China,0,"278,697",0,0,278697,3302109000,2018,May
21562,"3302109000 Mixtures Contain Over 20% Alcohol By Weight, Nesoi (kg)",July 2018,China,0,"268,268",0,0,268268,3302109000,2018,July
21563,"3302109000 Mixtures Contain Over 20% Alcohol By Weight, Nesoi (kg)",August 2018,China,0,"189,119",0,0,189119,3302109000,2018,August
21564,"3302109000 Mixtures Contain Over 20% Alcohol By Weight, Nesoi (kg)",September 2018,China,0,"163,319",0,0,163319,3302109000,2018,September
21565,"3302109000 Mixtures Contain Over 20% Alcohol By Weight, Nesoi (kg)",October 2018,China,0,"84,499",0,0,84499,3302109000,2018,October
21566,"3302109000 Mixtures Contain Over 20% Alcohol By Weight, Nesoi (kg)",November 2018,China,0,"50,435",0,0,50435,3302109000,2018,November
21597,3302902010 Perfume Oil Blends Containing Gt 10% Alcohol By Wt (kg),June 2018,China,0,"2,687",0,0,2687,3302902010,2018,June
24337,3903901000 Methyl Methacrylate-butadiene-styrene(mbs)copolymr (kg),November 2018,China,0,"9,824",9824,3094,9824,3903901000,2018,November
24338,3903901000 Methyl Methacrylate-butadiene-styrene(mbs)copolymr (kg),December 2018,China,0,"14,736",14736,4642,14736,3903901000,2018,December
27415,"4001220050 Technically Specified Natural Rubber, Nesoi (kg)",June 2018,China,0,"6,335",0,0,6335,4001220050,2018,June
29384,"4107195000 Bvn&eqn Upholstery Lthr Nesoi, Whole,furth Prep (m2)",December 2018,China,0,"4,543",4543,219,4543,4107195000,2018,December
29412,"4107924000 Buffalo Leather Nesoi Incl Sides, Grain Splts (m2)",July 2018,China,0,"14,783",14783,370,14783,4107924000,2018,July
30559,"4203104010 Anoraks,of Leather Or Composition Leather (no)",March 2018,China,0,"62,721",62721,3763,62721,4203104010,2018,March
31056,"4401392000 Artificial Fire Lgs, Compsed Of Wax Sawdust,aglmtd (kg)",January 2018,China,0,"3,169",0,0,3169,4401392000,2018,January
32629,"4412991020 Plywd Brch Face 1 Ply Noncon,nt Ov 3.6MMX1.2MX2.2M (m3)",August 2018,China,0,"76,635",0,0,76635,4412991020,2018,August
32630,"4412991020 Plywd Brch Face 1 Ply Noncon,nt Ov 3.6MMX1.2MX2.2M (m3)",September 2018,China,0,"51,091",0,0,51091,4412991020,2018,September
32631,"4412991020 Plywd Brch Face 1 Ply Noncon,nt Ov 3.6MMX1.2MX2.2M (m3)",October 2018,China,0,"18,733",0,0,18733,4412991020,2018,October
33620,"4421998500 Clothespins, Of Wood, Nesoi (grs)",March 2018,China,0,"2,765",2765,133,2765,4421998500,2018,March
34238,4602192940 Luggage And Flatgoods Of Vegetable Materials Nesoi (no),August 2018,China,0,"2,143",2143,114,2143,4602192940,2018,August
34772,"4805919000 Paper/prboard,nesoi,unctd,wt 30-150 G/m2,rol/sheet (kg)",February 2018,China,0,"3,053",0,0,3053,4805919000,2018,February
34925,"4808906000 Paper & pprboard Nesoi, Perforated In Rolls/sheets (kg)",April 2018,China,0,"3,200",0,0,3200,4808906000,2018,April
35529,4811908030 Dir Therm Coat Paper Gt 30g/m2 Weight Gt 15cm Wide (kg),February 2018,China,0,"36,063",0,0,36063,4811908030,2018,February
35531,4811908030 Dir Therm Coat Paper Gt 30g/m2 Weight Gt 15cm Wide (kg),April 2018,China,0,"2,658",0,0,2658,4811908030,2018,April
35532,4811908030 Dir Therm Coat Paper Gt 30g/m2 Weight Gt 15cm Wide (kg),May 2018,China,0,"315,207",0,0,315207,4811908030,2018,May
35536,4811908030 Dir Therm Coat Paper Gt 30g/m2 Weight Gt 15cm Wide (kg),September 2018,China,0,"319,359",0,0,319359,4811908030,2018,September
35537,4811908030 Dir Therm Coat Paper Gt 30g/m2 Weight Gt 15cm Wide (kg),October 2018,China,0,"128,486",128486,12848,128486,4811908030,2018,October
36640,"4906000000 Plans, Drawings For Architectural, Etc Purposes (kg)",August 2018,China,0,"9,366",0,0,9366,4906000000,2018,August
38073,"5208316040 Pln Wv,dyd,&gt;=85% Cot,&lt;=100g/m2,#(43-68), Sheeting (m2)",July 2018,China,0,"2,321",2321,225,2321,5208316040,2018,July
38430,5208514020 Wv Fb Ct&gt;=85%wgt Ct&lt;=100g/m2 Prtd Pl Wv #42 Pop/bc (m2),May 2018,China,0,"4,987",4987,404,4987,5208514020,2018,May
38431,5208514020 Wv Fb Ct&gt;=85%wgt Ct&lt;=100g/m2 Prtd Pl Wv #42 Pop/bc (m2),August 2018,China,0,"2,517",2517,203,2517,5208514020,2018,August
38434,5208514020 Wv Fb Ct&gt;=85%wgt Ct&lt;=100g/m2 Prtd Pl Wv #42 Pop/bc (m2),December 2018,China,0,861,0,0,861,5208514020,2018,December
38758,5209210035 Wov Fab Gt Gt=85% Cot Gt 200g/m2 Blc Wv Sht Nt Ob (m2),March 2018,China,0,"18,167",18167,1398,18167,5209210035,2018,March
38764,5209210035 Wov Fab Gt Gt=85% Cot Gt 200g/m2 Blc Wv Sht Nt Ob (m2),September 2018,China,0,"15,409",15409,1188,15409,5209210035,2018,September
39942,5303100000 Jute & Other Textile Bast Fibers Raw/retted (kg),August 2018,China,0,"1,313",0,0,1313,5303100000,2018,August
40016,5308901000 Yarn Of Other Veg Textile Fibers; Paper Yarn (kg),March 2018,China,0,745,745,20,745,5308901000,2018,March
41767,5407840020 Wov Fab Con Lt 85% Syn Fil Mix W/cot Print Sheet (m2),January 2018,China,0,"1,008",1008,150,1008,5407840020,2018,January
41768,5407840020 Wov Fab Con Lt 85% Syn Fil Mix W/cot Print Sheet (m2),February 2018,China,0,"2,787",2787,416,2787,5407840020,2018,February
41769,5407840020 Wov Fab Con Lt 85% Syn Fil Mix W/cot Print Sheet (m2),March 2018,China,0,"2,391",2391,356,2391,5407840020,2018,March
41771,5407840020 Wov Fab Con Lt 85% Syn Fil Mix W/cot Print Sheet (m2),May 2018,China,0,"5,818",5818,867,5818,5407840020,2018,May
41772,5407840020 Wov Fab Con Lt 85% Syn Fil Mix W/cot Print Sheet (m2),June 2018,China,0,"2,669",2669,398,2669,5407840020,2018,June
41773,5407840020 Wov Fab Con Lt 85% Syn Fil Mix W/cot Print Sheet (m2),July 2018,China,0,"3,247",3247,484,3247,5407840020,2018,July
41775,5407840020 Wov Fab Con Lt 85% Syn Fil Mix W/cot Print Sheet (m2),September 2018,China,0,"5,395",5395,804,5395,5407840020,2018,September
41777,5407840020 Wov Fab Con Lt 85% Syn Fil Mix W/cot Print Sheet (m2),December 2018,China,0,"1,148",1148,286,1148,5407840020,2018,December
42001,5407942050 Wov Fab Of Synth Fila Yarn Prnted Nesoi Stn/twl Wv (m2),March 2018,China,0,505,505,75,505,5407942050,2018,March
42003,5407942050 Wov Fab Of Synth Fila Yarn Prnted Nesoi Stn/twl Wv (m2),May 2018,China,0,"1,157",1157,172,1157,5407942050,2018,May
42004,5407942050 Wov Fab Of Synth Fila Yarn Prnted Nesoi Stn/twl Wv (m2),June 2018,China,0,"1,620",1620,241,1620,5407942050,2018,June
42349,"5503200025 Syn Stp Fib, Nt Prcssd, Of Poly, Lt 3.3 Deci,nesoi (kg)",November 2018,China,0,"3,271",0,0,3271,5503200025,2018,November
43039,5513130020 Wv Fb Syn Lt 85% Mx Ct Lt=170g/m2 Ub/bl P St/tw W (m2),December 2018,China,0,"25,598",25598,6374,25598,5513130020,2018,December
43104,5513290040 Wv Fb Syn Lt 85% Mx Ct Lt=170g/m2 Dyed Owf Chsclh (m2),January 2018,China,0,755,755,113,755,5513290040,2018,January
43105,5513290040 Wv Fb Syn Lt 85% Mx Ct Lt=170g/m2 Dyed Owf Chsclh (m2),February 2018,China,0,"2,271",2271,339,2271,5513290040,2018,February
43109,5513290040 Wv Fb Syn Lt 85% Mx Ct Lt=170g/m2 Dyed Owf Chsclh (m2),June 2018,China,0,"9,338",9338,1391,9338,5513290040,2018,June
43110,5513290040 Wv Fb Syn Lt 85% Mx Ct Lt=170g/m2 Dyed Owf Chsclh (m2),July 2018,China,0,"9,559",9559,1424,9559,5513290040,2018,July
43113,5513290040 Wv Fb Syn Lt 85% Mx Ct Lt=170g/m2 Dyed Owf Chsclh (m2),October 2018,China,0,"4,233",4233,1000,4233,5513290040,2018,October
43114,5513290040 Wv Fb Syn Lt 85% Mx Ct Lt=170g/m2 Dyed Owf Chsclh (m2),November 2018,China,0,"3,430",3430,853,3430,5513290040,2018,November
43157,5513410020 Wov Fb Syn Lt 85% Mx Ct Lt=170g/m2 Prntd P Pw P/b (m2),April 2018,China,0,"12,225",12225,1821,12225,5513410020,2018,April
43162,5513410020 Wov Fb Syn Lt 85% Mx Ct Lt=170g/m2 Prntd P Pw P/b (m2),September 2018,China,0,"8,321",8321,1241,8321,5513410020,2018,September
43214,5514191090 Wv Fb Syn Lt 85% Mx Ct Gt 170g/m2 Ub/bl Owfpsf Oth (m2),March 2018,China,0,"2,755",2755,411,2755,5514191090,2018,March
43216,5514191090 Wv Fb Syn Lt 85% Mx Ct Gt 170g/m2 Ub/bl Owfpsf Oth (m2),May 2018,China,0,"1,903",1903,283,1903,5514191090,2018,May
43320,5514303100 Wv Fb Syn Sf &lt;85% Mx Ct &gt;170g/m2 Ydc Py Sf Pl/wv (m2),April 2018,China,0,"1,114",1114,166,1114,5514303100,2018,April
43373,5514410020 Wv Fb Syn Lt 85% Mx Ct Gt 170g/m2 Prnt Py Pw Pl/bc (m2),September 2018,China,0,"4,023",4023,599,4023,5514410020,2018,September
43375,5514410020 Wv Fb Syn Lt 85% Mx Ct Gt 170g/m2 Prnt Py Pw Pl/bc (m2),November 2018,China,0,"1,931",1931,0,1931,5514410020,2018,November
43468,5515120030 Oth Wov Fab Syn Ply St Fb M mmf Fil Printcloth (m2),May 2018,China,0,"1,503",1503,181,1503,5515120030,2018,May
43469,5515120030 Oth Wov Fab Syn Ply St Fb M mmf Fil Printcloth (m2),July 2018,China,0,270,270,32,270,5515120030,2018,July
43470,5515120030 Oth Wov Fab Syn Ply St Fb M mmf Fil Printcloth (m2),August 2018,China,0,582,582,70,582,5515120030,2018,August
43471,5515120030 Oth Wov Fab Syn Ply St Fb M mmf Fil Printcloth (m2),October 2018,China,0,301,301,66,301,5515120030,2018,October
43472,5515120030 Oth Wov Fab Syn Ply St Fb M mmf Fil Printcloth (m2),December 2018,China,0,484,484,106,484,5515120030,2018,December
46579,5810929050 Embroidery mmf On A Grd Lt 100 G/m2 Wid Gt 225 C/m (kg),January 2018,China,0,535,535,40,535,5810929050,2018,January
46586,5810929050 Embroidery mmf On A Grd Lt 100 G/m2 Wid Gt 225 C/m (kg),October 2018,China,0,318,318,23,318,5810929050,2018,October
48459,"6101301500 M/b Overcoat Etc,mmf Cont Gt=23% Wool/fah, Knit (doz)",January 2018,China,0,"20,029",20029,2295,20029,6101301500,2018,January
48889,"6103411020 M/b Shorts Of Wool, Knit (doz)",November 2018,China,0,"2,867",2867,465,2867,6103411020,2018,November
49562,"6104441000 W/g Dresses Art Fib Cont 23% More Wool, Knit (doz)",April 2018,China,0,"3,055",3055,455,3055,6104441000,2018,April
49729,"6104591005 W/g Skirts Of Artif Fibers Gt=23% Wool, Knit (doz)",November 2018,China,0,518,518,41,518,6104591005,2018,November
49730,"6104591005 W/g Skirts Of Artif Fibers Gt=23% Wool, Knit (doz)",December 2018,China,0,532,532,43,532,6104591005,2018,December
50589,"6107191000 M/b Underpants Ot Tex Mat Cont 70% More Silk, Knit (doz)",April 2018,China,0,"1,598",1598,14,1598,6107191000,2018,April
51147,"6108995013 W/g Kt Robes Etc Tex Mat Cont 70% More Silk,undrwr (doz)",February 2018,China,0,"6,573",6573,39,6573,6108995013,2018,February
52798,6110909079 M/b Pullov Knit To Shape Subj Man-made Restr Nesoi (doz),January 2018,China,0,"8,911",8911,535,8911,6110909079,2018,January
52822,6110909081 W/g Pullov Knit To Shape Subj Man-made Restr Nesoi (doz),December 2018,China,0,"1,466",1466,88,1466,6110909081,2018,December
53730,6113009074 M/b Ot Grmnt Knit Cot Impreg Resin Ex Rbr/plastic (doz),February 2018,China,0,547,547,39,547,6113009074,2018,February
53734,6113009074 M/b Ot Grmnt Knit Cot Impreg Resin Ex Rbr/plastic (doz),August 2018,China,0,"1,182",1182,84,1182,6113009074,2018,August
54641,6116104830 Glvs Ex Veg Fib Kt Impreg Plas W/out 4chett Nesoi (dpr),April 2018,China,0,"1,107",1107,206,1107,6116104830,2018,April
55212,"6117809520 Clothing Accessories Nesoi Of Wool, Knit (doz)",February 2018,China,0,"6,949",6949,1015,6949,6117809520,2018,February
55593,"6201920500 M/b Anoraks Ski-jackets Etc Of Cotton & Down, Rpo (doz)",June 2018,China,0,"1,101",1101,48,1101,6201920500,2018,June
55594,"6201920500 M/b Anoraks Ski-jackets Etc Of Cotton & Down, Rpo (doz)",July 2018,China,0,315,315,14,315,6201920500,2018,July
55709,"6201924521 M/b Anrks,wnd-bkrs,smlr Art,n-knit,cotton,c Nesoi (doz)",April 2018,China,0,"16,614",16614,1561,16614,6201924521,2018,April
56363,6202929031 Girls' Anorak & Smlr Article Cotton Corduroy Nesoi (doz),July 2018,China,0,"5,351",5351,476,5351,6202929031,2018,July
56364,6202929031 Girls' Anorak & Smlr Article Cotton Corduroy Nesoi (doz),August 2018,China,0,"3,989",3989,355,3989,6202929031,2018,August
56368,6202929031 Girls' Anorak & Smlr Article Cotton Corduroy Nesoi (doz),December 2018,China,0,"2,207",2207,197,2207,6202929031,2018,December
57309,"6203422505 M/b Ovrlls,n-knit,cotton,insltd Cld Wther Pr Nesoi (doz)",January 2018,China,0,447,447,46,447,6203422505,2018,January
57320,"6203422505 M/b Ovrlls,n-knit,cotton,insltd Cld Wther Pr Nesoi (doz)",December 2018,China,0,"68,774",68774,7084,68774,6203422505,2018,December
